Created-At;Text;Id
08/11/2022;"Viral Anggota TNI Melaporkan Dugaan Perselingkuhan Istrinya dengan oknum Polisi, Kapolda Jateng: Tak Ada Toleransi !Pecat Saja !
https://t.co/DlQdQ1HSmX";1,58977E+18
08/11/2022;RT @tukangrosok___: Oknum Polisi yg melakukan Penyerangan pd Rumah Sakit di Medan harus mendapat sanksi yg tegas. Bukankah RS tidak boleh d…;1,58977E+18
08/11/2022;@tukangrosok___ Banyak oknum yg sengaja merusak citra polisi. Makanya mulai dari kasus sambo seharusnya jadi titik awal untuk membersihkan polisi dari orang2 banjingan seperti ini;1,58977E+18
08/11/2022;@HAIKYUUFESS bubble putih sudah pasti oknum kuroo tetsurou;1,58977E+18
08/11/2022;"@democrazymedia Pecat semua
Oknum oknum calon preman";1,58977E+18
08/11/2022;RT @mazzini_gsp: Ralat: 1 perawat RS Bandung disekap di kamar hotel oleh SALAH SATU ANGGOTA KEPOLISIAN. Setelah berhasil dilepas kemudian t…;1,58977E+18
08/11/2022;Oknum kalo dikumpulin jadi satu bisa buat invasi ke Ukraina kali ya? https://t.co/jbMbgZMp8I;1,58977E+18
08/11/2022;"Polisi baru lulus  berulah dgn tangan besinya. 

https://t.co/x5Nfgic9CZ";1,58977E+18
08/11/2022;RT @mazzini_gsp: Ralat: 1 perawat RS Bandung disekap di kamar hotel oleh SALAH SATU ANGGOTA KEPOLISIAN. Setelah berhasil dilepas kemudian t…;1,58977E+18
08/11/2022;RT @detikcom: 1 perawat RS Bandung disekap di kamar hotel oleh oknum polisi. Setelah berhasil dilepas kemudian terjadi insiden penyerangan…;1,58977E+18
08/11/2022;@BR1GHTW1NS @collegemenfess oknum sih ini;1,58977E+18
08/11/2022;RT @kemalpalevi: Gokil, dalam hitungan hari, udah ditangkap aja 2 orang ini. Emang kalau udah urusan bokep, di Konoha selalu sat set sat se…;1,58977E+18
08/11/2022;RT @detikcom: 1 perawat RS Bandung disekap di kamar hotel oleh oknum polisi. Setelah berhasil dilepas kemudian terjadi insiden penyerangan…;1,58977E+18
08/11/2022;RT @kemalpalevi: Gokil, dalam hitungan hari, udah ditangkap aja 2 orang ini. Emang kalau udah urusan bokep, di Konoha selalu sat set sat se…;1,58977E+18
08/11/2022;Pertamina Patra Niaga Sumbangsel Apresiasi Polrestabes Palembang Tangkap Oknum Penyalahgunaan BBM Solar https://t.co/Vgpsj3xBrp;1,58977E+18
08/11/2022;Oknum-oknum ini mungkin mengira politik adalah menang-menangan saja. #BRORIVAICenter;1,58977E+18
08/11/2022;RT @mazzini_gsp: Ralat: 1 perawat RS Bandung disekap di kamar hotel oleh SALAH SATU ANGGOTA KEPOLISIAN. Setelah berhasil dilepas kemudian t…;1,58977E+18
08/11/2022;RT @mazzini_gsp: Ralat: 1 perawat RS Bandung disekap di kamar hotel oleh SALAH SATU ANGGOTA KEPOLISIAN. Setelah berhasil dilepas kemudian t…;1,58977E+18
08/11/2022;"TOLOL AAAAAAAAAA
OKNUM HALODEK TOLOL

SEHARUSNYA YANG DIJUAL ORANG TUA LU ITU BUKAN SAWAH ATAU RUMAH TAPI ELO TOLOL! BEBAN https://t.co/cAK7vYDKsL";1,58977E+18
08/11/2022;@democrazymedia Saya heran kok masih ada yg bisa kaget dengan kelakuan oknum. Perkosa remaja ya ada, pedofil juga ada, meras rakyat yg lagi kemalingan ya ada, dagang narkoba dan bunuh orang juga ada.;1,58977E+18
